Hi.	嗨。
Did you meet Tom?	你见过汤姆了吗？
Do as you please.	你可以随心所欲。
Do you have a TV?	你有电视吗？
Do you have kids?	你们有小孩吗?
Do you like snow?	你喜欢雪吗？
Do you live here?	你住这里吗?
Do you own a gun?	你拥有枪支吗？
Do you trust her?	你相信她吗?
Don't kid around.	别开玩笑了。
Drink this juice.	喝这果汁。
Everybody laughs.	每个人都在笑。
Everyone noticed.	所有人都注意到了。
For what purpose?	为了什么目的？
Get off the lawn!	离开草坪!
Go up the stairs.	上楼。
Having many feet.	多足的有许多足的
He broke the law.	他触犯了法律。
He can read well.	他能读得很好。
He caught a cold.	他着凉了。
He died recently.	他最近去世了。
He has long hair.	他有长头发。
He is a tall boy.	他是一个高大的男孩。
He is an Italian.	他是义大利人。
He is in trouble.	他有麻烦。
He is near forty.	他年近四十。
He is not stupid.	他不是傻子。
He is still here.	他还在这儿。
He isn't at home.	他不在家。
He just got home.	他刚回到家。
He likes fishing.	他喜欢钓鱼。
He likes hunting.	他喜欢打猎。
He likes oranges.	他喜欢橙子。
He looks haggard.	他显得很憔悴。
He loves to fish.	他酷爱钓鱼。
He played tennis.	他打了网球。
He shut the door.	他关上了门。
He writes Arabic.	他写阿拉伯文。
He's at her side.	他在她的旁边。
He's your friend.	他是你的朋友。
Here is your bag.	你的袋子在这里。
How about a coke?	来杯可口可乐，怎么样?
How are you, Tom?	你好吗，汤姆？
How do I sign up?	我怎样报名参加呢？
How long is this?	这有多长？
How tall are you?	你多高？
How're you doing?	你们好吗？
I always eat out.	我总是在外面吃饭。
I am a bit drunk.	我有点醉了。
I am eating rice.	我在吃米饭。
I am not a witch.	我不是巫婆。
I am your father.	我是你爸爸。
I bought a watch.	我买了一只手表。
I can't hear you.	我听不到你的声音。
I can't reach it.	我搆不到它。
I can't remember.	我记不得了。
I can't stand it.	我不能忍受。
I couldn't sleep.	我睡不著。
I didn't like it.	我没有喜欢过。
I do forgive Tom.	我原谅汤姆。
I don't know her.	我不认识她。
I don't like gym.	我不喜欢体操.
I don't like her.	我不喜欢她。
I don't like tea.	我不喜欢喝茶。
I don't like you.	我不喜欢你。
I feel very sick.	我觉得我病得很厉害。
I had a hard day.	我过了难挨的一天。
I hate chemistry.	我讨厌化学。
I hate injection.	我讨厌打针。
I have a new car.	我有辆新车。
I have asked him.	我问过他。
I have no excuse.	我没有借口。
I have to say no.	我必须拒绝。
I like chocolate.	我喜欢巧克力。
I like traveling.	我喜欢旅行。
I like your city.	我喜欢你们的城市。
I live near here.	我住在这附近。
I love this song.	我爱这首歌。
I made her angry.	我让她生气。
I made it myself.	我自己做的。
I miss you badly.	我非常想你。
I need more time.	我需要更多时间。
I only need half.	我只需要半数.
I play in a band.	我在一个乐团里演奏。
I still love him.	我依旧爱着他。
I want beef, too.	"我也要牛肉。"
I want you to go.	我要你去。
I want your love.	我要你的爱。
I wasn't yelling.	我没有在吼。
I wish them luck.	我向他们祝愿幸运
I wrote a letter.	我写了一封信。
I'll do anything.	我不会做任何事。
I'll eat it here.	我会在这里把它吃了。
I'm just looking.	我只是随便看看。
I'm not a doctor.	我不是医生。
I'm not busy now.	我现在不忙。
I'm not so brave.	我没那么勇敢。
I'm on your side.	我站在你这边。
I'm proud of you.	我以你为荣。
I'm really tired.	我累死了。
I'm still sleepy.	我还很困。
I'm very thirsty.	我很渴。
I've lost my pen.	我弄丢了我的笔。
If not now, when?	如果不是现在，那是什么时候？
Is she all right?	她是正确的吗？
Is that your car?	那是你的车吗?
Is this your car?	这是你的车吗?
Is this your pen?	这是你的笔吗？
It began to snow.	开始下雪了。
It can't be true.	那不可能是真的。
It's a clear day.	它是一个晴朗的日子。
It's a good deal.	这是一笔不错的交易。
It's a sunflower.	那是一朵向日葵。
It's frozen hard.	真的很冰冷。
It's no big deal.	这没什么大不了的。
It's not a watch.	这不是手表。
It's on the sofa.	它在沙发上。
It's very normal.	它很正常。
Japan is in Asia.	日本在亚洲。
Keep the dog out.	别让狗进来。
Let's fly a kite.	让我们放风筝。
Let's take a bus.	让我们搭公车吧。
Let's try it out.	我们试试。
Listen carefully.	仔细听着。
Make your choice.	做出您的选择。
May we swim here?	我们能在这里游泳吗？
Move over, please	请挪过去点，你占了大半张凳子啦！
My house is here.	我家在这里。
My stomach hurts.	我胃痛。
Nobody knows why.	没人知道为什么。
Nobody likes war.	没有人喜欢战争。
Nothing happened.	什么事都没有发生。
Of noble lineage.	门第高贵的高贵血统的
One that fidgets.	烦躁不安的人
Please copy this.	麻烦拷贝这个。
Please let me go.	请允许我去。
She began crying.	她开始哭泣。
She disliked him.	她不喜欢他。
She left you 500.	她遗留给你500英镑.
She put on socks.	她穿上袜子。
She quit smoking.	她停下来抽烟。
She was promoted.	她晋升了。
She winked at me.	她向我眨眼。
She's a sly puss.	她是个刁滑的姑娘.
Sorry to be late.	对不起我来晚了。
Summer has ended.	夏天已经结束。
Swimming is easy.	游泳很容易。
Tell me about it!	跟我讲讲那件事。
That is a pencil.	那是一支铅笔。
That makes sense.	那是有道理的。
That wasn't nice.	那不好。
That's avoidable.	那是可避免的。
That's our house.	那是我们的房子。
That's very rare.	那太稀少了。
The box is empty.	盒子里面没有东西。
The car is ready.	汽车准备好了。
The clouds above.	天上的云彩
The curtain fell.	谢幕了。
The dog is dying.	这只狗快要死了。
The fire was out.	火熄灭了。
The sky is clear.	天空很晴朗。
The storm abated.	风暴减弱了。
The well ran dry.	这口井干涸了。
They live inland.	他们住在内地.
They were afraid.	他们害怕了。
They're children.	他们是孩子。
This book is new.	这本书是新的。
This is Room 839.	这是839号房间。
This is a pencil.	这是一支铅笔。
This is not safe.	这不安全。
This is the best.	这是最好的。
This is your dog.	这是你的狗。
This is your key.	这是您的钥匙。
This isn't money.	这不是钱。
Tom did it again.	汤姆又做了一次。
Tom glanced away.	汤姆瞥了一眼就移开目光了。
Tom has no money.	Tom没有钱。
Tom hit a triple.	汤姆击出三垒安打。
Tom hurt himself.	汤姆弄伤了自己。
Tom is a fat man.	汤姆是个胖子
Tom is a student.	汤姆是个学生。
Tom is deceitful.	汤姆是个骗子。
Tom is my friend.	汤姆是我的朋友。
Tom is very kind.	汤姆人很好。
Tom isn't a fool.	汤姆不是傻瓜。
Tom likes it hot.	汤姆喜欢热的。
Tom lost his job.	汤姆丢了工作。
Tom studies hard.	汤姆努力学习。
Tom walks slowly.	汤姆走得很慢。
Try it once more.	再试一次。
Turn off the gas.	把煤气关了！
We accept checks.	我们接受支票。
We depend on you.	我们可全靠你了。
We expect to win.	我们打算赢。
We have lift-off.	我们已发射升空.
We have two ears.	我们有两只耳朵。
We live together.	我们住在一起。
We lost the game.	我们比赛输了。
We started at six	我们是六点出发的.
We'll meet again.	后会有期。
We'll talk later.	我们过一会再谈。
We're classmates.	我们是同学。
We're having fun.	我们在高兴地玩。
We're in a hurry.	我们很急。
Welcome to Japan.	欢迎到日本。
What a good idea!	多好的主意啊！
What an ugly mug!	多难看的脸!
What did she say?	她说了什么?
What did you buy?	你买了什么？
What do you have?	您有什么？
What do you know?	你知道什么？
What do you make?	你做什么？
What do you want?	你想要什么？
What should I do?	我该做什么？
What woke you up?	什么吵醒你了?
What's she doing?	她在做什么？
What's your name?	叫什么名字?
Where is my book?	我的书在哪？
Where is my seat?	我的位子在哪儿？
Where's the boss?	老板在哪里？
Where's your dog?	你的狗在哪里？
Who wrote Hamlet?	哈姆雷特是谁写的？
Whose turn is it?	轮到谁了？
Why are you here?	你为什么在这？
Why did you quit?	你为什么辞职？
Why is he hiding?	他为什么在躲藏？
Will you join us?	你会参加吗？
Winter is coming.	冬季快来了。
You are blushing.	你脸红了。
You can't say no.	你无法说“不”。
You lucky rascal!	你这个幸运的家伙！
You make me sick!	你真让我恶心！
You need to know.	你有必要了解。
You shouldn't go.	你不应该去。
You're impatient.	你缺乏耐心。
You're no singer.	你不是歌手。
`Secretary wanted	｀招聘秘书
group dining hall	集体用膳食堂
how is your date?	你的约会怎么样？
A book on geology.	地质学书籍或论著
A concave molding.	凹圆形凹陷的线脚
A magpie chatters.	喜鹊“嘁嘁喳喳”叫。
A volley of oaths.	誓言的迸发
Acid is corrosive.	酸是有腐蚀性的。
Am I overreacting?	我反应过度了吗？
Are you happy now?	你现在高兴吗？
Beads on a string.	细绳上悬的珠子
Begone, dull care!	走开吧，无聊的忧虑！
Birds build nests.	鸟儿筑巢。
Call an ambulance.	叫救护车。
Can I let me pass?	劳驾，能让我过去吗？
Can you freeze it?	你能冷冻它吗？
Champagne, please.	给我香槟，谢谢。
Choose one person.	从中选择一人。
Christmas is soon.	圣诞节快到了。
Clean up the room.	收拾房间。
Come here quickly.	快来这里。
Come on, hurry up.	来吧，快一点。
Come on, let's go.	来吧，我们一起去。
Come on, touch it.	来吧，摸一下。
Come on, trust me.	来吧，相信我。
Deal us the cards.	发牌给我们。
Did you borrow it?	你借它了吗？
Did you buy juice?	你有买果汁吗？
Do I need surgery?	我需要做手术吗？
Do you believe me?	你相信我吗？
Do you drink beer?	你喝啤酒吗？
Do you feel lucky?	你觉得幸运吗？
Do you feel tired?	你觉得累吗？
Do you have a car?	你有车吗？
Do you have a map?	你有地图吗？
Do you like juice?	你喜欢果汁吗？
Do you love music?	你爱音乐吗？
Do you understand?	你明白了吗？
Don't believe him.	不要相信他。
Don't let him run.	别让他跑。
Don't let me down.	别让我失望。
Don't shout at me.	别对著我吼。
Everybody is fine.	每个人都好。
Everybody laughed.	大家笑了。
Everyone knows me.	大家都认识我。
Everyone was fine.	大家都还行。
Feel free to stay.	欢迎留下来。
Get into your car.	进你的车里。
Give her the book.	把这本书给她。
God bless America.	上帝保佑美国。
Haste makes waste.	欲速则不达。
He began to shout.	他开始喊叫。
He bought a Honda.	他卖了一台丰田的车。
He came in person.	他亲自来了。
He can't help you.	他不能帮你。
He died yesterday.	他昨天去世了。
He doesn't listen.	他没听。
He has seven sons.	他有七个儿子。
He himself did it.	是他自己做的。
He is a lucky dog.	他是个幸运的家伙。
He is a screwball.	他是一个怪人。
He is a smart boy.	他是个小机灵鬼。
He is an American.	他是美国人。
He is an advocate.	他是一个拥护者。
He is at her side.	他在她的旁边。
He is but a child.	他不过是个孩子。
He is watching TV.	他在看电视。
He likes sleeping.	他喜欢睡觉。
He lit up a cigar.	他点燃了雪茄。
He made me a suit.	他给我做了套衣服。
He struck a match.	他划了一根火柴。
He studied abroad.	他出国留学了。
He threw the ball.	他把球扔了。
He turned the key.	他转动钥匙。
He was wide awake.	他完全清醒了。
He will come back.	他会回来的。
He wrote a letter.	他写了一封信。
He's a bit lively.	他有点活泼。
He's no gentleman!	他可不是正人君子!
He's really angry.	他非常生气。
Here's the change.	这是找零。
Hollywood talents.	好莱坞的演艺人才。
How are you doing?	你们好吗？
How complex is it?	它有多复杂？
How should I know.	我怎么知道。
How should I know?	我怎么知道?
How was your test?	你的测验怎么样？
How was your trip?	你的旅行怎么样?
How well you look!	你看起来多么健康啊！
I agreed with her.	我同意她。
I am a technician.	我是技术员。
I am a vegetarian.	我是素食主义者。
I am in the house.	我在家里。
I am not Canadian.	我不是加拿大人。
I am studying now.	我现在正在学习。
I beg your pardon.	对不起；请原谅。
I believe in love.	我相信爱情。
I can comfort her.	我可以安慰她。
I can do it alone.	我可以独自做。
I can hardly walk.	我几乎不能走路。
I can play Chopin.	我会弹萧邦。
I can play soccer.	我会踢足球。
I can play tennis.	我会打网球。
I come from China.	我是从中国来的。
I didn't feel bad.	我没觉得不好。
I don't accept it.	我不接受。
I don't blame you.	我不怪你。
I don't eat bread.	我不吃面包。
I don't like eggs.	我不喜欢吃鸡蛋。
I don't like this.	我不喜欢。
I don't like wine.	我不喜欢红酒。
I don't regret it.	我不后悔。
I got a bee sting.	我被蜜蜂蛰了一下。
I have a daughter.	我有一个女儿。
I have a headache.	我头痛。
I have a proposal.	我有个提案。
I have a red bike.	我有一辆红色的自行车。
I have an opinion.	我有一个意见。
